Plate.Number,Envelope,Treatment,Rep,Location,Genotype,Field.location,Source,Extraction.BC,Datafile,d.T3,g.T3,a.T3,d.T,g.T,a.T,Total.Tocotrienols,Total.Tocopherols,Total.Tocochromanols,ID,ID2
LD_Plate 4,18A1331_1_1,Light,2,NY,OH7B,U,14A1166,8032064763,02192019_LD4_18A1331_1_1_OH7B_12.lcd,0.621,22.994,5.749,3.887,44.804,1.038,29.363,49.728,79.092,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_1_2,Light,2,NY,OH7B,U,14A1166,8032064851,02192019_LD4_18A1331_1_2_OH7B_13.lcd,0.627,20.773,4.655,3.918,46.247,0.97,26.055,51.135,77.19,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_1_3,Light,2,NY,OH7B,U,14A1166,8032064403,02192019_LD4_18A1331_1_3_OH7B_14.lcd,0.584,26.926,NA,3.427,53.861,NA,NA,58.691,93.729,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_1_4,Light,2,NY,OH7B,U,14A1166,8032064637,02192019_LD4_18A1331_1_4_OH7B_15.lcd,0.673,23.746,4.746,3.531,45.61,0.984,29.165,50.125,79.291,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_1_5,Light,2,NY,OH7B,U,14A1166,8032064923,02192019_LD4_18A1331_1_5_OH7B_16.lcd,0.441,18.444,4.004,NA,33.686,0.825,22.889,36.437,NA,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_1_6,Light,2,NY,OH7B,U,14A1166,8032064414,02192019_LD4_18A1331_1_6_OH7B_17.lcd,0.787,22.487,5.28,2.54,41.191,1.038,28.553,44.769,73.323,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_1_7,Light,2,NY,OH7B,U,14A1166,8032064584,02192019_LD4_18A1331_1_7_OH7B_18.lcd,NA,NA,NA,3.845,47.289,1.118,NA,52.252,89.331,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_1_8,Light,2,NY,OH7B,U,14A1166,8032064425,02192019_LD4_18A1331_1_8_OH7B_19.lcd,0.624,22.148,4.351,3.328,56.238,1.137,27.122,60.703,87.825,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_1_9,Light,2,NY,OH7B,U,14A1166,8032064927,02192019_LD4_18A1331_1_9_OH7B_22.lcd,0.576,18.434,4.077,2.686,42.485,0.927,23.086,46.098,69.184,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_1_10,Light,2,NY,OH7B,U,14A1166,8032064795,02192019_LD4_18A1331_1_10_OH7B_23.lcd,NA,23.469,4.564,4.369,50.236,0.921,28.877,55.526,84.402,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_1_11,Light,2,NY,OH7B,U,14A1166,8032064997,02192019_LD4_18A1331_1_11_OH7B_24.lcd,0.535,18.907,4.206,3.274,53.989,0.954,23.649,58.216,81.865,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_1_12,Light,2,NY,OH7B,U,14A1166,8032065345,02192019_LD4_18A1331_1_12_OH7B_25.lcd,0.712,22.509,5.559,3.511,51.954,1.262,28.78,56.727,85.507,OH7B_Light_2,OH7B_Light
LD_Plate 4,18A1331_2_1,Control,2,NY,OH7B,U,14A1166,8032064918,02192019_LD4_18A1331_2_1_OH7B_26.lcd,0.732,22.319,4.356,3.809,51.829,1.095,27.407,56.733,84.139,OH7B_Control_2,OH7B_Control
LD_Plate 4,18A1331_2_2,Control,2,NY,OH7B,U,14A1166,8032064804,02192019_LD4_18A1331_2_2_OH7B_27.lcd,0.797,23.245,4.591,4.092,49.672,1.042,28.634,54.806,83.439,OH7B_Control_2,OH7B_Control
LD_Plate 4,18A1331_2_3,Control,2,NY,OH7B,U,14A1166,8032064807,02192019_LD4_18A1331_2_3_OH7B_28.lcd,0.826,25.544,5.399,3.956,53.951,1.089,31.769,58.995,90.764,OH7B_Control_2,OH7B_Control
LD_Plate 4,18A1331_2_4,Control,2,NY,OH7B,U,14A1166,8032064388,02192019_LD4_18A1331_2_4_OH7B_29.lcd,0.695,23.026,4.589,4.195,54.997,1.033,28.309,60.225,88.534,OH7B_Control_2,OH7B_Control
LD_Plate 4,18A1331_2_5,Control,2,NY,OH7B,U,14A1166,8032064492,02192019_LD4_18A1331_2_5_OH7B_30.lcd,0.809,23.838,4.394,3.776,48.991,NA,29.041,53.699,82.741,OH7B_Control_2,OH7B_Control
LD_Plate 4,18A1331_2_6,Control,2,NY,OH7B,U,14A1166,8032064399,02192019_LD4_18A1331_2_6_OH7B_31.lcd,0.785,22.342,4.428,3.848,52.344,NA,27.554,57.128,84.683,OH7B_Control_2,OH7B_Control
LD_Plate 4,18A1331_2_7,Control,2,NY,OH7B,U,14A1166,8032064525,02192019_LD4_18A1331_2_7_OH7B_32.lcd,NA,NA,NA,NA,51.983,1.06,NA,57.559,91.697,OH7B_Control_2,OH7B_Control
LD_Plate 4,18A1331_2_8,Control,2,NY,OH7B,U,14A1166,8032065075,02192019_LD4_18A1331_2_8_OH7B_33.lcd,0.928,24.072,5.043,3.808,46.576,NA,30.042,51.293,81.336,OH7B_Control_2,OH7B_Control
LD_Plate 4,18A1331_2_9,Control,2,NY,OH7B,U,14A1166,8032064409,02192019_LD4_18A1331_2_9_OH7B_36.lcd,0.78,25.604,NA,3.905,49.998,1.091,NA,54.994,87.682,OH7B_Control_2,OH7B_Control
LD_Plate 4,18A1331_2_10,Control,2,NY,OH7B,U,14A1166,8032065047,02192019_LD4_18A1331_2_10_OH7B_37.lcd,0.675,22.82,4.945,3.98,57.75,NA,28.439,NA,91.457,OH7B_Control_2,OH7B_Control
